ID,Human,Gorilla,Chimpanzee,Cattle,Banteng,Goat,Sheep,EuropeanHare,Rabbit,HouseMouse,WesternWildMouse,SpinyMouse,NorwayRat,Opossum,Gallus,MuscovyDuck
Human,0.0,5.661341674523257e-05,0.0,0.0011208121366881318,0.001136260204990247,0.0011882165052253812,0.0011913457324548293,0.0005264975077718947,0.0007300483879806308,0.0009419402670539645,0.0011539975790659796,0.0010395604219163301,0.0016167335356416235,0.0020338928832733805,0.002998021714037069,0.0028569257472198517
Gorilla,5.661341674523257e-05,0.0,5.661341674523257e-05,0.0010955536160820456,0.0011415561002742214,0.0012855954218838894,0.0013052064818330766,0.0006057078163185237,0.000712773206272499,0.0009051117295064692,0.0010878241264686839,0.0009740393462330799,0.0015606003855451744,0.001911465545623492,0.0032777026689340127,0.0031395298792867843
Chimpanzee,0.0,5.661341674523257e-05,0.0,0.0011208121366881318,0.001136260204990247,0.0011882165052253812,0.0011913457324548293,0.0005264975077718947,0.0007300483879806308,0.0009419402670539645,0.0011539975790659796,0.0010395604219163301,0.0016167335356416235,0.0020338928832733805,0.002998021714037069,0.0028569257472198517
Cattle,0.0011208121366881318,0.0010955536160820456,0.0011208121366881318,0.0,0.00019154359836970336,0.000519488445113292,0.0004702049645826101,0.0012844570560566204,0.001197820736588806,0.0015941621060726607,0.0019491480218671864,0.0017534716316365273,0.001941501202336826,0.0021812634300837352,0.0029067736383082687,0.002872257988686844
Banteng,0.001136260204990247,0.0011415561002742214,0.001136260204990247,0.00019154359836970336,0.0,0.0005251315867300654,0.0005364210783034284,0.0013259144477526519,0.0012453308431157328,0.0015427627701602997,0.0019601810453490076,0.0018171498239838435,0.0020966636105307357,0.0020091961478294618,0.0027209316519922755,0.0026618892122900473
Goat,0.0011882165052253812,0.0012855954218838894,0.0011882165052253812,0.000519488445113292,0.0005251315867300654,1.1102230246251565e-16,0.00021031849296548888,0.0010621090867580785,0.0010870163298772884,0.0016041719208260696,0.0020610664833016212,0.0018420811194909126,0.0019400063926321431,0.0020258638884210756,0.0025864333072427304,0.002570611815504331
Sheep,0.0011913457324548293,0.0013052064818330766,0.0011913457324548293,0.0004702049645826101,0.0005364210783034284,0.00021031849296548888,0.0,0.0012498943802625728,0.0011732741191531337,0.0018414151698674663,0.002360338503928139,0.0020050799976302214,0.0018423483003814356,0.0021713502848591526,0.0025128283168849297,0.002497826613958032
EuropeanHare,0.0005264975077718947,0.0006057078163185237,0.0005264975077718947,0.0012844570560566204,0.0013259144477526519,0.0010621090867580785,0.0012498943802625728,0.0,0.00021476170765233338,0.0010467743715663058,0.0013617673561827637,0.0011956114873313828,0.0014762334250186804,0.0017267198047262733,0.002399066247174453,0.002386210267324329
Rabbit,0.0007300483879806308,0.000712773206272499,0.0007300483879806308,0.001197820736588806,0.0012453308431157328,0.0010870163298772884,0.0011732741191531337,0.00021476170765233338,0.0,0.0010440527109218944,0.0014817795693411462,0.0011667545928610856,0.0011878006293526422,0.0014928135440649415,0.002440573021134429,0.0024956708717556175
HouseMouse,0.0009419402670539645,0.0009051117295064692,0.0009419402670539645,0.0015941621060726607,0.0015427627701602997,0.0016041719208260696,0.0018414151698674663,0.0010467743715663058,0.0010440527109218944,0.0,0.00021516410418687126,0.00019316713590933343,0.0008234604481878183,0.0015994349043201295,0.0034198054357607033,0.0031970641471485983
WesternWildMouse,0.0011539975790659796,0.0010878241264686839,0.0011539975790659796,0.0019491480218671864,0.0019601810453490076,0.0020610664833016212,0.002360338503928139,0.0013617673561827637,0.0014817795693411462,0.00021516410418687126,0.0,0.00024476164354159113,0.0011406574994557994,0.0023066993798762647,0.004272430136060712,0.00397970829627714
SpinyMouse,0.0010395604219163301,0.0009740393462330799,0.0010395604219163301,0.0017534716316365273,0.0018171498239838435,0.0018420811194909126,0.0020050799976302214,0.0011956114873313828,0.0011667545928610856,0.00019316713590933343,0.00024476164354159113,0.0,0.0007646493176491909,0.0018174751418348345,0.003820157021294457,0.0036055941792736412
NorwayRat,0.0016167335356416235,0.0015606003855451744,0.0016167335356416235,0.001941501202336826,0.0020966636105307357,0.0019400063926321431,0.0018423483003814356,0.0014762334250186804,0.0011878006293526422,0.0008234604481878183,0.0011406574994557994,0.0007646493176491909,0.0,0.0021050486228468834,0.003133849624618379,0.0029865432680489246
Opossum,0.0020338928832733805,0.001911465545623492,0.0020338928832733805,0.0021812634300837352,0.0020091961478294618,0.0020258638884210756,0.0021713502848591526,0.0017267198047262733,0.0014928135440649415,0.0015994349043201295,0.0023066993798762647,0.0018174751418348345,0.0021050486228468834,0.0,0.003266952953221325,0.0032169248836355635
Gallus,0.002998021714037069,0.0032777026689340127,0.002998021714037069,0.0029067736383082687,0.0027209316519922755,0.0025864333072427304,0.0025128283168849297,0.002399066247174453,0.002440573021134429,0.0034198054357607033,0.004272430136060712,0.003820157021294457,0.003133849624618379,0.003266952953221325,0.0,0.00012271990173462477
MuscovyDuck,0.0028569257472198517,0.0031395298792867843,0.0028569257472198517,0.002872257988686844,0.0026618892122900473,0.002570611815504331,0.002497826613958032,0.002386210267324329,0.0024956708717556175,0.0031970641471485983,0.00397970829627714,0.0036055941792736412,0.0029865432680489246,0.0032169248836355635,0.00012271990173462477,0.0
